Tag_y,Agreement
hideMenu,0.4381
reject,0.39869
accept,0.30719
hideHelp,0.30065
showMenu,0.26901
showHelp,0.16374
showSearch,0.12865
hideSearch,0.125
ZoomIn,0.11696
ZoomOut,0.10526
pan1,0.07602
rotate45,0.06316
pan2,0.03676
resetView,0.03676
location,0.02614
previous,0.025
selectSingle,0.01961
satelite,0.01754
measureDistance,0.01667
addMarker,0.00952
next,0.00833
pitch,0.00654
streets,0.00654
removeMarker,0.00585
AR,0.11282
