Tag,Einigung
0,0.16666666666666666
16,0.2777777777777778
17,0.2777777777777778
4,0.2777777777777778
12,0.33333333333333337
13,0.38888888888888884
14,0.4444444444444444
15,0.4444444444444444
9,0.1111111111111111
19,0.05555555555555555
20,0.0
18,0.16666666666666666
6,0.1111111111111111
25,0.5555555555555556
8,0.05555555555555555
5,0.22222222222222224
26,0.05555555555555555
24,0.4444444444444444
22,0.1111111111111111
23,0.16666666666666666
21,0.05555555555555555
10,0.05555555555555555
11,0.05555555555555555
