Class,Tag
N,Norden
O,Osten
S,Sueden
W,Westen
NO,Nordosten
NW,Nordwesten
SO,Suedosten
SW,Suedwesten
0,pan1
1,pan1
2,pan2
3,pan2
4,ZoomIn
5,ZoomOut
6,rotate45
7,rotate90
8,pitch
9,resetView
10,addMarker
11,removeMarker
12,showMenu
13,hideMenu
14,showHelp
15,hideHelp
16,showSearch
17,hideSearch
18,location
19,satelite
20,streets
21,measureDistance
22,next
23,previous
24,accept
25,reject
26,selectSingle
