Class,Tag
0,pan
1,pan
2,pan
3,pan
4,ZoomIn
5,ZoomOut
6,rotate45
7,rotate90
8,pitch
9,resetView
10,addMarker
11,removeMarker
12,showMenu
13,hideMenu
14,showHelp
15,hideHelp
16,showSearch
17,hideSearch
18,locateion
19,satelite
20,streets
21,measureDistance
22,next
23,previous
24,accept
25,reject
26,selectSingle
