Tag,Agreement
zoomIn,0.08
zoomOut,0.09
left,0.16
right,0.17
up,0.14
down,0.15
topLeft,0.17
topRight,0.19
bottomLeft,0.17
bottomRight,0.17
repeat,0.11
A,0.14
